dataset,graph_path,query_path,query_sha256,group_ids_path,group_ids_sha256,g,f_target,f_realized_mean,f_realized_min,f_realized_max,queries,roles,candidate_frequency_window,candidate_labels,base_seed,selection,design_note
IMDb-daily-20260722,data/official-latest-20260722/imdb-20260722,experiment_data/official_latest/controlled_labels/imdb/imdb_label_g4_f400.txt,06254e82f5fbc91c3844506d9489b8dd771caa7e644d30f563bb767603e2611b,experiment_data/official_latest/controlled_labels/imdb/imdb_label_g4_f400.group_ids.txt,effefb9a00e277e5a52ed293d66a3befce6971b4dc3ade6fec74939578b5f2b3,4,400,403.425,397.5,406.75,10,g_sweep,"[200, 600]",12458,20260722,uniform random real labels with deterministic rejection to 2% mean-frequency tolerance; closest of 2000 samples otherwise,"graph-construction family follows PrunedDP++; g=10 f sweep, g/f grid and 10-query sample count are ABHSS paper choices"
IMDb-daily-20260722,data/official-latest-20260722/imdb-20260722,experiment_data/official_latest/controlled_labels/imdb/imdb_label_g5_f400.txt,5bed06044710f0c72d720fa572e3e44dbf7bb23a189f385265c2b132f8ec3410,experiment_data/official_latest/controlled_labels/imdb/imdb_label_g5_f400.group_ids.txt,75ca23cc1e6029690fa424936c7ebf484dd9f747d3dd4de69039889debb73110,5,400,398.71999999999997,393.8,404.6,10,g_sweep,"[200, 600]",12458,20260722,uniform random real labels with deterministic rejection to 2% mean-frequency tolerance; closest of 2000 samples otherwise,"graph-construction family follows PrunedDP++; g=10 f sweep, g/f grid and 10-query sample count are ABHSS paper choices"
IMDb-daily-20260722,data/official-latest-20260722/imdb-20260722,experiment_data/official_latest/controlled_labels/imdb/imdb_label_g6_f400.txt,3c9d91fd746ddbd92a500e3cbf0233584c254377cf58aa7b2d9c4550cef1c57d,experiment_data/official_latest/controlled_labels/imdb/imdb_label_g6_f400.group_ids.txt,745982b90b2c084f65ad3bc275c0616bcdfca3bf1ad54a3c87d135ffb4041dd1,6,400,398.83333333333337,393.5,406.3333333333333,10,g_sweep,"[200, 600]",12458,20260722,uniform random real labels with deterministic rejection to 2% mean-frequency tolerance; closest of 2000 samples otherwise,"graph-construction family follows PrunedDP++; g=10 f sweep, g/f grid and 10-query sample count are ABHSS paper choices"
IMDb-daily-20260722,data/official-latest-20260722/imdb-20260722,experiment_data/official_latest/controlled_labels/imdb/imdb_label_g7_f400.txt,c73f69e9b998bce4e0532f1c3889b7d173beec8aec9d85e34510b53606ef991f,experiment_data/official_latest/controlled_labels/imdb/imdb_label_g7_f400.group_ids.txt,208420d882398124deccecd3023b709db0de80a699533a2fa84f45ebc3d63bb7,7,400,398.87142857142857,395.2857142857143,406.2857142857143,10,g_sweep,"[200, 600]",12458,20260722,uniform random real labels with deterministic rejection to 2% mean-frequency tolerance; closest of 2000 samples otherwise,"graph-construction family follows PrunedDP++; g=10 f sweep, g/f grid and 10-query sample count are ABHSS paper choices"
IMDb-daily-20260722,data/official-latest-20260722/imdb-20260722,experiment_data/official_latest/controlled_labels/imdb/imdb_label_g8_f400.txt,3f68eb5901dc07fc8c4cfa88e719177451a8dd46b90280151e0fc2956a57a97d,experiment_data/official_latest/controlled_labels/imdb/imdb_label_g8_f400.group_ids.txt,2df556d3cc87c33f119f89a4fe956e2168b8b6cf77f72625010106d7163b1c83,8,400,401.1,392.625,406.125,10,g_sweep,"[200, 600]",12458,20260722,uniform random real labels with deterministic rejection to 2% mean-frequency tolerance; closest of 2000 samples otherwise,"graph-construction family follows PrunedDP++; g=10 f sweep, g/f grid and 10-query sample count are ABHSS paper choices"
IMDb-daily-20260722,data/official-latest-20260722/imdb-20260722,experiment_data/official_latest/controlled_labels/imdb/imdb_label_g9_f400.txt,126a67acf7c3ea26cb0d9748311a910cd192e45fe1aea51deab3dfc8a9ea0535,experiment_data/official_latest/controlled_labels/imdb/imdb_label_g9_f400.group_ids.txt,1e22537dd782b7026cdf5b42256a6b1d79e7be58b9b70018fd90a9e76c6c2d23,9,400,399.16666666666663,392.55555555555554,403.3333333333333,10,g_sweep,"[200, 600]",12458,20260722,uniform random real labels with deterministic rejection to 2% mean-frequency tolerance; closest of 2000 samples otherwise,"graph-construction family follows PrunedDP++; g=10 f sweep, g/f grid and 10-query sample count are ABHSS paper choices"
IMDb-daily-20260722,data/official-latest-20260722/imdb-20260722,experiment_data/official_latest/controlled_labels/imdb/imdb_label_g10_f100.txt,aedc1e71a1911bccf5fa3228abc083fba219492af1e971864c2aea7b5c05670e,experiment_data/official_latest/controlled_labels/imdb/imdb_label_g10_f100.group_ids.txt,7a9fd801526b130c4c5cca1f9b47f58ed0cb04591e1632e45d93663eecf884a3,10,100,99.25,98.1,101.8,10,f_sweep,"[50, 150]",35740,20260722,uniform random real labels with deterministic rejection to 2% mean-frequency tolerance; closest of 2000 samples otherwise,"graph-construction family follows PrunedDP++; g=10 f sweep, g/f grid and 10-query sample count are ABHSS paper choices"
IMDb-daily-20260722,data/official-latest-20260722/imdb-20260722,experiment_data/official_latest/controlled_labels/imdb/imdb_label_g10_f200.txt,153c207a4c4aa43200997a0fb3dd23e77ec2bf78eba47d9626a8b96a812815ec,experiment_data/official_latest/controlled_labels/imdb/imdb_label_g10_f200.group_ids.txt,cb382439c890aeb281e4eaa8e7be0883817df667e9e5e220c92ca81ca95891aa,10,200,199.49,196.4,203.9,10,f_sweep,"[100, 300]",20922,20260722,uniform random real labels with deterministic rejection to 2% mean-frequency tolerance; closest of 2000 samples otherwise,"graph-construction family follows PrunedDP++; g=10 f sweep, g/f grid and 10-query sample count are ABHSS paper choices"
IMDb-daily-20260722,data/official-latest-20260722/imdb-20260722,experiment_data/official_latest/controlled_labels/imdb/imdb_label_g10_f400.txt,0a8ac39df628c7ba598d7f5296e7545ee58d83ec16ea9a827af007dda2e5cf17,experiment_data/official_latest/controlled_labels/imdb/imdb_label_g10_f400.group_ids.txt,fe5a56a1d8cebe042f9d82c3fb6828e59c40e553b79d4b9a4f02ed0b448fde01,10,400,399.29,393.5,406.9,10,g_sweep+f_sweep,"[200, 600]",12458,20260722,uniform random real labels with deterministic rejection to 2% mean-frequency tolerance; closest of 2000 samples otherwise,"graph-construction family follows PrunedDP++; g=10 f sweep, g/f grid and 10-query sample count are ABHSS paper choices"
IMDb-daily-20260722,data/official-latest-20260722/imdb-20260722,experiment_data/official_latest/controlled_labels/imdb/imdb_label_g10_f800.txt,acc895daa093bb3262ca0db07a553ad35ad5bfaf15e12353a5ae9dbcec1f0e56,experiment_data/official_latest/controlled_labels/imdb/imdb_label_g10_f800.group_ids.txt,5b843749237f7902427dc9d107ef27b1808c7d02f4a6bca8e6dc390a807ae292,10,800,797.21,785.6,813.2,10,f_sweep,"[400, 1200]",7448,20260722,uniform random real labels with deterministic rejection to 2% mean-frequency tolerance; closest of 2000 samples otherwise,"graph-construction family follows PrunedDP++; g=10 f sweep, g/f grid and 10-query sample count are ABHSS paper choices"
