dataset,source_query_index,g,mean_f,log_mean_f,minimum_group_size,maximum_group_size,size_stratum,panel_query_index,selection_key
snap-wikipedia-2018,25,4,51.75,3.965563772356176,17,144,1,1,07688faaa626f2915fb8d98dd375a3d376dfb8ac4723d1188316c2b23447ade2
snap-wikipedia-2018,37,4,65.5,4.197201947661808,19,138,2,2,06c293e797e4e1d161d7eb93cd9f118450b6928de7e4526d166b3568aa552045
snap-wikipedia-2018,45,4,149.5,5.01396308418893,23,248,8,3,025d15510cf93363b70eb88c7408a05745cdd1e6c49f0b3772d5bf73d25db83b
snap-wikipedia-2018,52,4,99.75,4.612642200826793,34,228,5,4,05dee5c0ed9c56e2c39646bde24a9f48fe3960b2f882dceefcb8b656482fd1eb
snap-wikipedia-2018,77,4,490.5,6.197461939587221,5,1656,10,5,0333786bb98f3e8b50e6bf31ed73003b90ad7bfa9dd9981212a8161a6f11687b
snap-wikipedia-2018,103,4,72.75,4.300680995219929,37,106,3,6,039c6717a934a86246c3ee093ada5f364e1400d4bb75c305e9c012b998a5cb07
snap-wikipedia-2018,130,4,85.75,4.4630304188269685,9,177,4,7,0d72610969688f8ea81e7584abdcfc8f66c022eb1f9198d7d8334a4c9f311e7e
snap-wikipedia-2018,179,4,136.5,4.923623917106626,133,138,7,8,07db17a6537fe4710084150ba79e140b977712229e80aee3568c91047dfc60a5
snap-wikipedia-2018,272,4,119.5,4.791649752930709,36,262,6,9,02f413c4f08cfeb24a98209204ae6baa11d89682cffda9884f2ccaae5ac26a21
snap-wikipedia-2018,290,4,176.25,5.177561165412237,53,291,9,10,07c03656e4ea6ad779e7ad78f3e0027bd3d3cc311a1683d28e186a8adbd54b15
snap-wikipedia-2018,33,5,119.2,4.789157022101107,10,245,6,1,067d1b869d1119fba3e2f1f2768a201ac23c4a84574eca45247b9ac8f018fc6e
snap-wikipedia-2018,96,5,55.2,4.028916756899646,18,125,1,2,0526bea8efcb480e858050cdebd9d5fd47a4a2dd411716221ce52395500a0f55
