178 312
1 98 7
1 101 1
2 103 1
3 103 15
4 5 1
4 121 54
5 7 15
5 124 54
6 7 1
6 92 7
7 95 7
7 141 54
8 56 1
8 173 16
9 57 8
9 178 16
10 11 1
10 129 7
10 132 1
10 160 24
11 13 15
11 133 1
11 162 24
12 13 1
12 17 42
12 133 15
13 173 24
14 15 1
14 89 7
14 93 1
14 132 42
15 17 15
15 97 1
15 133 42
16 17 1
16 97 15
16 102 8
18 19 1
18 73 7
18 78 1
18 80 3
19 21 15
19 79 1
19 82 3
20 21 1
20 79 15
21 94 3
22 23 1
22 156 30
22 176 1
23 177 1
24 28 29
24 177 15
25 26 1
25 122 30
25 155 1
25 176 29
26 28 15
26 157 1
26 177 29
27 28 1
27 157 15
27 165 6
29 30 1
29 69 7
29 70 1
29 74 8
30 32 15
30 71 1
30 76 8
31 32 1
31 71 15
31 73 10
31 84 7
32 85 7
32 87 8
33 34 1
33 62 1
33 90 43
34 36 15
34 63 1
34 91 43
35 36 1
35 63 15
35 69 8
35 74 7
36 75 7
36 104 42
37 38 1
37 58 10
38 40 15
38 60 10
39 40 1
39 64 7
40 65 7
40 68 10
41 42 1
41 51 7
41 169 1
42 171 1
43 168 19
43 171 15
44 45 1
44 143 7
44 145 1
44 150 2
45 47 15
45 148 1
45 152 2
46 47 1
46 148 15
46 156 9
47 167 2
48 49 1
48 144 1
49 51 15
49 147 1
50 51 1
50 55 19
50 147 15
50 169 7
52 53 1
52 126 1
52 144 19
53 55 15
53 127 1
53 147 19
54 55 1
54 127 15
54 143 2
54 150 7
55 151 7
56 57 1
56 174 16
57 175 16
58 59 1
58 60 1
59 61 1
59 62 8
60 61 1
60 68 15
61 63 8
61 69 15
62 63 1
64 65 1
64 66 1
65 67 1
65 70 10
66 67 1
66 72 15
67 71 10
67 73 15
68 69 1
68 70 7
70 71 1
72 73 1
72 78 7
74 75 1
74 76 1
75 77 1
75 112 42
76 77 1
76 87 15
77 89 15
77 114 42
78 79 1
80 81 1
80 82 1
81 83 1
81 84 6
82 83 1
82 94 15
83 86 6
83 98 15
84 85 1
84 86 1
85 88 1
85 93 8
86 88 1
86 100 15
87 89 1
87 93 7
88 97 8
88 102 15
89 128 42
90 91 1
90 116 25
91 105 15
91 118 25
92 95 1
92 96 1
93 97 1
94 98 1
94 101 7
95 99 1
95 106 14
96 99 1
96 109 15
98 100 6
99 108 14
99 111 15
100 102 1
101 103 1
104 105 1
104 112 7
105 113 7
105 130 25
106 107 1
106 108 1
107 110 1
107 134 29
108 110 1
108 120 15
109 111 1
109 116 7
110 122 15
110 136 29
111 117 7
111 120 14
112 113 1
112 114 1
113 115 1
113 137 25
114 115 1
114 128 15
115 129 15
115 140 25
116 117 1
116 118 1
117 119 1
118 119 1
118 130 15
119 131 15
120 122 1
120 155 30
121 123 1
121 124 1
122 154 29
123 125 1
123 126 2
124 125 1
124 141 15
125 127 2
125 143 15
126 127 1
128 129 1
128 132 7
129 158 25
130 131 1
130 137 7
131 139 7
132 133 1
134 135 1
134 136 1
135 138 1
135 145 9
136 138 1
136 154 15
137 139 1
137 140 1
138 148 9
138 156 15
139 142 1
139 146 8
140 142 1
140 158 15
141 143 1
141 145 7
142 149 8
142 159 15
144 147 1
145 148 1
146 149 1
146 155 6
149 157 6
149 165 15
150 151 1
150 152 1
151 153 1
151 169 19
152 153 1
152 167 15
153 168 15
153 171 19
154 156 1
154 176 30
155 157 1
158 159 1
158 161 7
159 163 7
159 165 8
160 161 1
160 162 1
161 163 1
161 164 1
162 164 1
162 173 15
163 166 1
163 170 8
164 166 1
164 174 15
165 170 7
166 172 8
166 175 15
167 168 1
169 171 1
170 172 1
172 178 15
173 174 1
174 175 1
175 178 8
176 177 1
